customer,merchant,frequency
'C623601481','M50039827',1
'C2092526272','M840466850',1
'C661876608','M1741626453',1
'C1436756684','M692898500',1
'C1960866892','M855959430',1
'C991774315','M349281107',1
'C1959067413','M209847108',1
'C1465698425','M2122776122',1
'C181787207','M1873032707',1
'C2063978670','M2011752106',1
'C1353776547','M857378720',1
'C777971561','M1198415165',1
'C5191822','M1748431652',1
'C1891401770','M480139044',1
'C2131498052','M1352454843',1
'C138375181','M855959430',1
'C966214713','M857378720',1
'C2026269026','M1198415165',1
'C723509264','M2122776122',1
'C1197304790','M1352454843',1
'C395508103','M855959430',1
'C1862384239','M117188757',1
'C737765767','M840466850',1
'C1810630647','M1053599405',1
'C60026962','M1198415165',1
'C869954068','M151143676',1
'C192974759','M1741626453',1
'C1466730207','M547558035',1
'C225675370','M840466850',1
'C1560259762','M480139044',1
'C24198147','M151143676',1
'C1899001756','M85975013',1
'C1838948302','M1352454843',1
'C798889135','M1946091778',1
'C631654729','M151143676',1
'C30024621','M692898500',1
'C1734487337','M1741626453',1
'C846682077','M151143676',1
'C166353588','M1535107174',1
'C1228157206','M97925176',1
'C212188289','M980657600',1
'C1690793519','M1535107174',1
'C351144071','M547558035',1
'C1209651258','M855959430',1
'C706757729','M923029380',1
'C1629765833','M209847108',1
'C1117294574','M840466850',1
'C34676686','M923029380',1
'C571254990','M1198415165',1
'C795132749','M151143676',1
'C236847402','M855959430',1
'C1646349423','M1353266412',1
'C1355090926','M1535107174',1
'C769422228','M1198415165',1
'C1267913176','M349281107',1
'C548427290','M2011752106',1
'C978276840','M1842530320',1
'C775533998','M855959430',1
'C1038215695','M2122776122',1
'C1764447156','M2122776122',1
'C1413774656','M692898500',1
'C652253057','M1842530320',1
'C1474976180','M855959430',1
'C1781924994','M840466850',1
'C1909782411','M85975013',1
'C499760818','M1888755466',1
'C182918114','M1535107174',1
'C359363895','M1649169323',1
'C2134399963','M85975013',1
'C1780829982','M855959430',1
'C474847450','M1198415165',1
'C2120633706','M677738360',1
'C1404684380','M923029380',1
'C1141524074','M151143676',1
'C168579211','M855959430',1
'C528877098','M855959430',1
'C158319863','M840466850',1
'C1065812935','M857378720',1
'C189823798','M1748431652',1
'C2064491438','M923029380',1
'C285984841','M209847108',1
'C583110837','M547558035',1
'C75278863','M1313686961',1
'C1764447156','M923029380',1
'C123366357','M692898500',1
'C941334726','M151143676',1
'C1297358265','M85975013',1
'C861002792','M855959430',1
'C1019071188','M348875670',1
'C1196149230','M855959430',1
'C1240560903','M547558035',1
'C1282628311','M1198415165',1
'C476466255','M151143676',1
'C1059534096','M1313686961',1
'C503124737','M1198415165',1
'C210584188','M732195782',1
'C1819751403','M1600850729',1
'C1621267054','M855959430',1
'C1415168453','M855959430',1
'C755108533','M1649169323',1
'C1944646841','M1535107174',1
'C1586463432','M2122776122',1
'C1950870438','M1888755466',1
'C1076110991','M1946091778',1
'C1648096390','M2122776122',1
'C805469502','M480139044',1
'C1361037703','M151143676',1
'C1200311106','M855959430',1
'C656075868','M151143676',1
'C1428252955','M1741626453',1
'C1358079072','M1842530320',1
'C1214582637','M1053599405',1
'C2094478222','M209847108',1
'C521129957','M348875670',1
'C1560676680','M1888755466',1
'C1171622243','M1888755466',1
'C869394149','M980657600',1
'C1294166760','M692898500',1
'C526384621','M840466850',1
'C1319350044','M1535107174',1
'C298317613','M980657600',1
'C1491844959','M1053599405',1
'C1214828746','M1198415165',1
'C1431362064','M85975013',1
'C1269217373','M1748431652',1
'C686064678','M923029380',1
'C587016440','M1313686961',1
'C1186953291','M151143676',1
'C1620127338','M1888755466',1
'C100992504','M840466850',1
'C771874671','M1888755466',1
'C1072166767','M1842530320',1
'C1049562739','M1198415165',1
'C60324613','M547558035',1
'C1394931354','M151143676',1
'C510046708','M480139044',1
'C17589297','M1888755466',1
'C323996741','M1888755466',1
'C1574217480','M855959430',1
'C1174217921','M1198415165',1
'C218446443','M547558035',1
'C144783459','M1198415165',1
'C959506480','M1741626453',1
'C1630887376','M923029380',1
'C1680323951','M1842530320',1
'C172707110','M1748431652',1
'C656031620','M209847108',1
'C1897566795','M1535107174',1
'C1263461120','M855959430',1
'C444370508','M151143676',1
'C1375316332','M1872033263',1
'C466569235','M1313686961',1
'C607062277','M1198415165',1
'C901025251','M209847108',1
'C655625028','M1888755466',1
'C1490048317','M1535107174',1
'C2083329818','M855959430',1
'C1195893546','M209847108',1
'C126603077','M151143676',1
'C1148364854','M732195782',1
'C2100825064','M1535107174',1
'C1871125244','M547558035',1
'C479535332','M209847108',1
'C1963617384','M1600850729',1
'C1410823375','M1741626453',1
'C777438443','M348875670',1
